# Full-ISA Z80N golden vectors from the Spectrum Next FPGA Z80N core (HDL simulation of the core source).
# fmt: opcodehex AF BC DE HL IX IY memHL memDE | (post) AF BC DE HL IX IY memHL memDE  name
80 0000 0001 0408 1234 5678 C0DE 00 00 | 0040 0001 0408 1234 5678 C0DE 00 00 ADD_A_B
80 00FF 0102 8001 4123 00FF 0001 00 00 | 0100 0102 8001 4123 00FF 0001 00 00 ADD_A_B
80 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEB9 FF7F 1020 8001 BEEF 1357 00 00 ADD_A_B
80 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | BCA8 8040 AA55 FFFF 0F0F 8080 00 00 ADD_A_B
80 8055 0F10 7F80 0001 1234 4321 00 00 | 8F88 0F10 7F80 0001 1234 4321 00 00 ADD_A_B
80 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | CF88 C0F0 3CC3 00FF F00F 0FF0 00 00 ADD_A_B
80 1093 55AA 2710 7FFF 8000 00C0 00 00 | 6520 55AA 2710 7FFF 8000 00C0 00 00 ADD_A_B
81 0000 0001 0408 1234 5678 C0DE 00 00 | 0100 0001 0408 1234 5678 C0DE 00 00 ADD_A_C
81 00FF 0102 8001 4123 00FF 0001 00 00 | 0200 0102 8001 4123 00FF 0001 00 00 ADD_A_C
81 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7E39 FF7F 1020 8001 BEEF 1357 00 00 ADD_A_C
81 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 7C28 8040 AA55 FFFF 0F0F 8080 00 00 ADD_A_C
81 8055 0F10 7F80 0001 1234 4321 00 00 | 9080 0F10 7F80 0001 1234 4321 00 00 ADD_A_C
81 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | FFA8 C0F0 3CC3 00FF F00F 0FF0 00 00 ADD_A_C
81 1093 55AA 2710 7FFF 8000 00C0 00 00 | BAA8 55AA 2710 7FFF 8000 00C0 00 00 ADD_A_C
82 0000 0001 0408 1234 5678 C0DE 00 00 | 0400 0001 0408 1234 5678 C0DE 00 00 ADD_A_D
82 00FF 0102 8001 4123 00FF 0001 00 00 | 8080 0102 8001 4123 00FF 0001 00 00 ADD_A_D
82 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 0F09 FF7F 1020 8001 BEEF 1357 00 00 ADD_A_D
82 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | E6B0 8040 AA55 FFFF 0F0F 8080 00 00 ADD_A_D
82 8055 0F10 7F80 0001 1234 4321 00 00 | FFA8 0F10 7F80 0001 1234 4321 00 00 ADD_A_D
82 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 4B18 C0F0 3CC3 00FF F00F 0FF0 00 00 ADD_A_D
82 1093 55AA 2710 7FFF 8000 00C0 00 00 | 3720 55AA 2710 7FFF 8000 00C0 00 00 ADD_A_D
83 0000 0001 0408 1234 5678 C0DE 00 00 | 0808 0001 0408 1234 5678 C0DE 00 00 ADD_A_E
83 00FF 0102 8001 4123 00FF 0001 00 00 | 0100 0102 8001 4123 00FF 0001 00 00 ADD_A_E
83 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 1F09 FF7F 1020 8001 BEEF 1357 00 00 ADD_A_E
83 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 9194 8040 AA55 FFFF 0F0F 8080 00 00 ADD_A_E
83 8055 0F10 7F80 0001 1234 4321 00 00 | 0045 0F10 7F80 0001 1234 4321 00 00 ADD_A_E
83 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | D290 C0F0 3CC3 00FF F00F 0FF0 00 00 ADD_A_E
83 1093 55AA 2710 7FFF 8000 00C0 00 00 | 2020 55AA 2710 7FFF 8000 00C0 00 00 ADD_A_E
84 0000 0001 0408 1234 5678 C0DE 00 00 | 1200 0001 0408 1234 5678 C0DE 00 00 ADD_A_H
84 00FF 0102 8001 4123 00FF 0001 00 00 | 4100 0102 8001 4123 00FF 0001 00 00 ADD_A_H
84 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7F2D FF7F 1020 8001 BEEF 1357 00 00 ADD_A_H
84 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 3B39 8040 AA55 FFFF 0F0F 8080 00 00 ADD_A_H
84 8055 0F10 7F80 0001 1234 4321 00 00 | 8080 0F10 7F80 0001 1234 4321 00 00 ADD_A_H
